,Accepted binomial,Family,Clade,Risk category,DormancyShort,Topt,Topt.upp,Topt.low,Toptbreadth,SEopt,SEoptbreadth,Conservation interest,Restoration relevance
1,Achillea maritima,Asteraceae,Asterids,High,PD,14.99729097,18.22005153,11.77453042,6.445521107,5.590802386,29.32620835,0,0
2,Achillea millefolium,Asteraceae,Asterids,Thermally resilient,PD,18.64621121,23.00420549,14.28821692,8.715988567,0.686244951,5.694081857,0,1
3,Achnatherum bromoides,Poaceae,Monocots,High,NoInfo,16.93767286,18.17934369,15.69600203,2.483341659,NA,NA,0,0
4,Agrostis capillaris,Poaceae,Monocots,Warm-narrow,PD,17.28529969,21.21179815,13.35880124,7.852996916,NA,NA,0,1
5,Agrostis castellana,Poaceae,Monocots,Thermally resilient,PD,20.03670731,35.12911783,4.944296795,30.18482104,NA,NA,0,1
6,Allium sphaerocephalon,Amaryllidaceae,Monocots,High,PD,13.92310809,17.85619195,9.990024229,7.866167717,0.908665079,4.306099102,0,1
7,Antennaria dioica,Asteraceae,Asterids,Cold-wide,NoInfo,14.8087083,19.23680096,10.38061565,8.856185314,NA,NA,0,1
8,Anthemis maritima,Asteraceae,Asterids,Warm-narrow,NoInfo,17.6343806,18.82015582,16.44860538,2.371550448,NA,NA,0,0
9,Anthoxanthum odoratum,Poaceae,Monocots,Thermally resilient,PD,22.49220008,29.3583112,15.62608895,13.73222225,NA,NA,0,1
10,Anthyllis vulneraria,Fabaceae,Rosids,Cold-wide,PY(PD),4.787512193,27.05865628,-17.4836319,44.54228818,10.20760875,25.83829208,1,1
11,Arbutus andrachne,Ericaceae,Asterids,High,PD,10.67443305,14.06773962,7.281126488,6.786613133,NA,NA,0,0
12,Arbutus unedo,Ericaceae,Asterids,High,PD,10.75675076,14.22552246,7.287979053,6.937543409,3.465648857,9.153441931,0,0
13,Arenaria grandiflora,Caryophyllaceae,Caryophyllales,Cold-wide,PD,8.935809252,13.35500416,4.516614342,8.83838982,NA,NA,0,1
14,Arrhenatherum elatius,Poaceae,Monocots,Thermally resilient,PD,21.45458798,27.97652079,14.93265517,13.04386562,1.87797778,4.637975229,0,1
15,Artemisia herba-alba,Asteraceae,Asterids,High,NoInfo,11.59477636,15.5454776,7.644075127,7.90140247,0.772927126,2.513271868,0,0
16,Bellis perennis,Asteraceae,Asterids,Thermally resilient,PD,17.77879393,25.21757805,10.34000981,14.87756824,0.54005303,2.169088719,0,1
17,Bolboschoenus maritimus,Cyperaceae,Monocots,Warm-narrow,PD,24.01956912,25.46189902,22.57723922,2.884659797,NA,NA,0,0
18,Brachypodium sylvaticum,Poaceae,Monocots,Warm-narrow,PD,19.51091396,21.46679636,17.55503155,3.911764809,NA,NA,0,1
19,Bromus erectus,Poaceae,Monocots,Warm-narrow,PD,17.8259298,20.3604718,15.29138779,5.069084007,0.338812475,1.149786373,0,1
20,Buphthalmum salicifolium,Asteraceae,Asterids,Thermally resilient,NoInfo,18.89208091,24.72467566,13.05948615,11.66518952,NA,NA,0,1
21,Calendula arvensis,Asteraceae,Asterids,Thermally resilient,NoInfo,17.88905197,22.74333514,13.03476879,9.708566356,NA,NA,0,0
22,Calluna vulgaris,Ericaceae,Asterids,Warm-narrow,PD,18.13068714,20.53019966,15.73117462,4.799025035,1.305385544,7.763967318,0,0
23,Calystegia soldanella,Convolvulaceae,Asterids,Thermally resilient,PY(PD),18.50659901,23.79393768,13.21926035,10.57467733,1.618489345,10.29239078,0,0
24,Carex echinata,Cyperaceae,Monocots,Warm-narrow,PD,20.43150545,23.95385045,16.90916046,7.044689984,NA,NA,0,1
25,Carex lepidocarpa,Cyperaceae,Monocots,Warm-narrow,PD,22.45494758,24.7853397,20.12455547,4.660784226,3.356425334,12.19883825,0,0
26,Carlina vulgaris,Asteraceae,Asterids,Thermally resilient,PD,20.28939769,25.05654698,15.52224839,9.534298591,7.939506919,11.41560301,0,1
27,Catapodium rigidum,Poaceae,Monocots,Warm-narrow,PD,17.8631055,20.19273639,15.53347461,4.659261777,NA,NA,0,0
28,Centaurea jacea,Asteraceae,Asterids,High,NoInfo,16.79312421,20.22002303,13.36622539,6.853797638,0.480034076,22.14229706,0,1
29,Centaurea scabiosa,Asteraceae,Asterids,High,NoInfo,15.75911403,18.2251075,13.29312056,4.931986943,3.064582449,49.98018843,0,1
30,Cistus salviifolius,Cistaceae,Rosids,High,PY(PD),15.13421723,17.3217013,12.94673315,4.374968147,0.776810061,3.678984497,0,0
31,Clematis vitalba,Ranunculaceae,EarlyEU,High,M(P)D,15.03008612,16.87205518,13.18811707,3.683938115,1.229930489,9.08212069,0,0
32,Cleonia lusitanica,Lamiaceae,Asterids,High,NoInfo,12.30519141,16.22731988,8.383062939,7.844256942,2.068514906,5.510599617,0,0
33,Clinopodium vulgare,Lamiaceae,Asterids,Thermally resilient,PD,19.4048341,24.69281621,14.11685198,10.57596423,NA,NA,0,1
34,Coronilla varia,Fabaceae,Rosids,Warm-narrow,PY(PD),18.8015926,21.10767865,16.49550656,4.612172085,0.739228569,4.09461338,0,1
35,Crithmum maritimum,Apiaceae,Asterids,High,M(P)D,13.5846467,16.31710962,10.85218377,5.464925851,1.788567644,5.52044271,0,0
36,Crucianella maritima,Rubiaceae,Asterids,High,NoInfo,14.47406312,18.33656057,10.61156566,7.724994911,1.922569741,15.38813368,0,0
37,Cynosurus cristatus,Poaceae,Monocots,Thermally resilient,NoInfo,23.95406349,42.74988157,5.15824542,37.59163615,17.86843606,41.95604432,0,1
38,Cynosurus echinatus,Poaceae,Monocots,Cold-wide,NoInfo,16.7926701,22.00455672,11.58078349,10.42377324,1.036247942,1.26453716,0,0
39,Cyperus capitatus,Cyperaceae,Monocots,Warm-narrow,NoInfo,19.50808205,19.76119327,19.25497084,0.506222429,1356.167588,5271.232145,0,0
40,Dactylis glomerata,Poaceae,Monocots,Thermally resilient,PD,19.31296683,23.68400441,14.94192924,8.742075171,0.4111622,1.158676091,0,1
