,Accepted_binomial,Family,Genus,Species,Clade,Lifeform,Pollination,Fruit_type,Seed_mass,Dormancy,Ecological_breadth,Conservation,Restoration,Reported_uses,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses,GermData_availability,NTestTemp,a,b,c,Topt,Logit.Max,Model.Max,Topt.upp,Topt.low,Tmax,Tmin,Tbreadth,Toptbreadth,SEmax,SEmin,SEopt.upp,SEopt.low,SEopt,SEbreadth,SEoptbreadth,Tmean_count,Model_concavity,Tail_drop,GermData_quality
1,Acantholimon caesareum,Plumbaginaceae,Acantholimon,caesareum,Caryophyllales,perennial,Biotic,dry_dehiscent,2.633956818,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Acantholimon puberulum,Plumbaginaceae,Acantholimon,puberulum,Caryophyllales,perennial,Biotic,dry_dehiscent,2.633956818,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Acantholimon ulicinum,Plumbaginaceae,Acantholimon,ulicinum,Caryophyllales,perennial,Biotic,dry_dehiscent,2.633956818,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Acer campestre,Sapindaceae,Acer,campestre,Malvids,woody,Biotic,dry_indehiscent,62.20771354,PD,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Acer cappadocicum,Sapindaceae,Acer,cappadocicum,Malvids,woody,Biotic,dry_indehiscent,120.0857143,PD,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Acer hyrcanum,Sapindaceae,Acer,hyrcanum,Malvids,woody,Biotic,dry_indehiscent,47.80992,PD,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Acer monspessulanum,Sapindaceae,Acer,monspessulanum,Malvids,woody,Biotic,dry_indehiscent,35.76578182,PD,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Acer opalus,Sapindaceae,Acer,opalus,Malvids,woody,Biotic,dry_indehiscent,78.9412,PD,3,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
9,Acer pseudoplatanus,Sapindaceae,Acer,pseudoplatanus,Malvids,woody,Biotic,dry_indehiscent,79.61135315,PD,2,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0.011392815,-0.590539742,5.045052532,25.9172009,-2.607516035,0.068656265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509853627,NA,NA,9,0,1,0
10,Acer sempervirens,Sapindaceae,Acer,sempervirens,Malvids,woody,Biotic,dry_indehiscent,8,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
