"","accepted_binomial","pf1","a","b","c","Topt","Logit.Max","Model.Max","Topt.upp","Topt.low","Tmax","Tmin","Tbreadth","Toptbreadth","SEmax","SEmin","SEopt.upp","SEopt.low","SEopt","SEbreadth","SEoptbreadth","Family","clade5","Tmean_count","Af1","Af7"
"1","Acer opalus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"2","Acer pseudoplatanus",1,0.0113928148430803,-0.590539742105745,5.04505253172375,25.9172008954583,-2.6075160347296,0.0686562647997154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50985362736892,NA,NA,"Sapindaceae","Rosids",9,0,1
"3","Acer sempervirens",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"4","Achillea maritima",1,-0.00776626791486686,0.232945959396025,-2.2641556690474,14.9972909735769,-0.517376501956795,0.373465899623313,18.2200515269983,11.7745304201555,32.6753383642261,-2.68075641707228,35.3560947812983,6.44552110684285,12.4634976800858,19.4148726734814,14.8773230491018,16.4679279109195,5.59080238635207,30.651652898417,29.3262083515784,"Asteraceae","Asterids",6,1,1
"5","Achillea millefolium",1,-0.0243799159896259,0.909186125482,-6.15516656826686,18.6462112065701,2.32127169264342,0.910623495686885,23.004205489837,14.2882169233033,33.3426596020345,3.94976281110576,29.3928967909287,8.7159885665337,1.97080160751285,1.19308458241163,2.92579606276952,2.93135902978591,0.686244951107969,2.95487581164462,5.69408185690769,"Asteraceae","Asterids",13,1,1
"6","Achnatherum bromoides",1,-0.229669142349781,7.78012159767784,-63.9323168274173,16.9376728586135,1.95626038343284,0.87612766994993,18.1793436880474,15.6960020291796,21.5569892162782,12.3183565009488,9.2386327153294,2.48334165886778,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",5,1,1
"7","Achnatherum calamagrostis",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"8","Achnatherum parviflorum",1,-0.00151554694584903,-0.00766634920600576,3.58191900788907,-2.52923514741768,3.59161400782117,0.973185032425139,24.2411764545378,-29.2996467493731,63.1416825602693,-68.2001528551046,131.341835415374,53.5408232039109,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",3,1,0
"9","Adenocarpus complicatus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"10","Aegilops biuncialis",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"11","Aegilops geniculata",1,0.33365246902453,-8.03619145796967,73.6210356796639,12.0427573658669,25.2320837426734,0.999999999988989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",6,0,0
"12","Aethionema saxatile",1,0.0141679340778144,-0.594488180258201,9.85162657354109,20.9800588072015,3.61542808253947,0.973799529259424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90832282903918,NA,NA,"Brassicaceae","Rosids",3,0,0
"13","Agrostis capillaris",1,-0.0520402577203799,1.79906290166547,-12.4403375426914,17.2852996936728,3.10833316883674,0.957235174368135,21.2117981515029,13.3588012358427,28.0699841652968,6.50061522204878,21.569368943248,7.8529969156603,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",14,1,1
"14","Agrostis castellana",1,-0.00168015873013678,0.0673296974315395,1.38709438475892,20.0367073133793,2.06162710522599,0.887117211336549,35.1291178313685,4.94429679539016,74.6216844504865,-34.5482698237278,109.169954274214,30.1848210359784,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",5,1,1
"15","Aira cupaniana",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"16","Aira elegans",1,0.00700702718442954,-0.162807004777761,3.74408853098781,11.6174092445037,2.79839072980026,0.94258880019766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",3,0,0
"17","Allium rubrovittatum",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
